,104462,104474,104477,104479,104484,104486,104497,104503,104508,104515,104531,104536,104554,104555,104559,104562,104569,104570,104575,104576,104579,104584,104585,104586,104589,104590,104595,104597,104598,104599,104600,104603,104604,104609,104613,104615,104617,104618,104619,104623,104627,104629,104631,104632,104634,104636,104639,104640,104641,104649,104650,104654,104657,104661,104667,104679,104685,104686,104693,104697,104702,104705,104709,104716,104722,104738,104740,104743,104746,104752,104755,104760,104763,104765,104769,104770,104772,104779,104787,104790,104794,104799,104801,104805,104811,104815,104817,104820,104826,104830,104832,104839,104849,104850,104853,104855,104858,104861,104874,104879,104883,104886,104887,104896,104899,104902,104908,104909,104913,104915,104919,104921,104924,104926,104928,104935,104936,104944,104946,104947,104953,104968,104977,104979,104993,105000,105003,105014,105023,105029,105035,105037,105041,105049,105051,105060,105063,105072,105076,105084,105108,105121,105128,105147,105155,105157,105210,105214,105216,105225,105226,105238,105240,105247
OTU97_279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
OTU97_354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU97_1,0,2773,23566,0,14399,21735,1917,16275,164,12141,0,0,0,33400,86195,0,133645,0,0,0,0,0,129071,0,0,0,14627,0,0,0,32491,0,0,71948,36655,44814,0,12748,1453,0,0,0,0,0,31082,0,0,0,76,25645,0,0,0,0,0,6451,0,0,2077,0,0,0,0,0,0,0,0,6083,0,0,40034,9372,0,0,0,0,145,20391,0,101,0,0,10079,0,0,0,0,4455,0,0,0,0,4005,7948,0,41724,0,0,15397,42804,0,0,24678,0,0,3009,0,16576,0,0,0,0,0,21326,0,0,43413,6386,21634,0,0,58,5477,0,0,0,0,3527,0,0,0,0,0,0,0,0,2589,0,2085,5999,0,0,17367,0,0,9969,17920,0,0,848,19140,0,0,8168
OTU97_2,53347,0,0,0,0,0,7098,0,21891,0,1878,12676,0,0,0,0,0,0,0,0,0,50149,713,0,0,0,0,0,2901,0,0,0,32990,0,0,0,10457,0,0,20015,1170,0,5895,0,0,0,0,7848,0,2231,662,19941,0,0,6441,0,0,7669,0,12820,0,3592,0,5233,18452,0,3720,18808,0,4624,0,0,0,95789,8091,0,0,0,0,0,0,7399,0,80,0,0,2839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5890,6615,344,806,0,681,1446,3960,9904,0,170,0,16117,1929,0,0,0,0,0,0,24768,0,0,2257,0,3020,26984,3896,4075,2269,0,0,0,0,0,0,0,0,3739,0,5829,897,0,0,0,15228,0,0,0,10801,0
OTU97_5,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,50587,0,48,0,0,36794,0,0,0,0,7,0,0,10019,27145,3448,10874,0,0,0,0,0,14642,0,0,25751,3675,0,3716,0,0,0,0,0,0,16744,0,24952,0,0,0,3974,0,0,0,12500,0,4471,0,0,0,1218,0,45419,0,0,0,0,0,0,46,0,0,0,11605,6282,0,0,18307,445,9225,0,0,0,16918,2737,24978,15514,0,0,0,0,0,0,0,0,15227,0,0,20673,0,11085,0,0,11274,0,0,14291,0,22692,0,0,0,0,8431,0,0,0,0,11481,0,0,0,0,0,0,0,0,830,4307,2883,0,4065,0,0,1241,0,0,0,0,0,0,554,0,3283,0,1644,0,0
OTU97_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45219,0,0,0,0,9236,0,25434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24353,0,0,13345,0,0,0,0,0,19239,0,0,0,0,0,0,0,0,0,23697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1799,0,0,0,0,4683,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU97_4,0,9581,0,1,0,0,0,0,0,0,0,0,7231,0,79,0,2,5,7,69718,0,0,0,4,9,315,8,23129,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41772,0,0,0,1,5688,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001,0,0,0,8476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3732,5,0,10,0,3,0,0,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU97_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19938,58,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,7,0,0,8926,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0
OTU97_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,807,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3206,26602,1,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10408,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,0,0,0,0,0,213,0,0,0,0,0,297,0,0,0,0,0,431,0,0,0
