Sequencing_ID,Transect,distance_class,distance_m,rel_abun,long,lat,est_spores_per_g,,,
104887,4,500,800,0,-156.280009,20.727797,3231164.4,,,
105003,4,500,800,1,-156.280009,20.727797,3231164.4,,,
104484,1,1000,1300,0,-156.279547,20.723078,2411274.6,,,
104497,1,1000,1300,0.787354409,-156.279547,20.723078,2411274.6,,,
104508,1,1000,1300,0.992564044,-156.279547,20.723078,2411274.6,,,
104531,1,1000,1300,1,-156.279547,20.723078,2411274.6,,,
104679,1,1000,1300,0,-156.279547,20.723078,2411274.6,,,
104705,1,1000,1300,0.940068045,-156.279547,20.723078,2411274.6,,,
104743,1,1000,1300,0.755614479,-156.279547,20.723078,2411274.6,,,
104609,2,1000,1300,0,-156.279437,20.723125,2807274.6,,,
104619,2,1000,1300,0,-156.279437,20.723125,2807274.6,,,
104693,2,1000,1300,0,-156.279437,20.723125,2807274.6,,,
104968,2,1000,1300,0,-156.279437,20.723125,2807274.6,,,
104631,3,1000,1300,1,-156.2791833,20.7239,9750046.8,,,
104640,3,1000,1300,0.999363301,-156.2791833,20.7239,9750046.8,,,
104752,3,1000,1300,1,-156.2791833,20.7239,9750046.8,,,
104850,3,1000,1300,0,-156.2791833,20.7239,9750046.8,,,
104902,3,1000,1300,0.102594691,-156.2791833,20.7239,9750046.8,,,
104569,4,1000,1300,0,-156.278391,20.725141,8625062.4,,,
104595,4,1000,1300,0,-156.278391,20.725141,8625062.4,,,
104617,4,1000,1300,0.999713193,-156.278391,20.725141,8625062.4,,,
104618,4,1000,1300,0,-156.278391,20.725141,8625062.4,,,
104623,4,1000,1300,0.99980019,-156.278391,20.725141,8625062.4,,,
104634,4,1000,1300,0,-156.278391,20.725141,8625062.4,,,
104849,4,1000,1300,0,-156.278391,20.725141,8625062.4,,,
104477,1,2000,2300,0,-156.272714,20.716909,1518959,,,
104503,1,2000,2300,0,-156.272714,20.716909,1518959,,,
104515,1,2000,2300,0,-156.272714,20.716909,1518959,,,
104613,1,2000,2300,0,-156.272714,20.716909,1518959,,,
104649,1,2000,2300,0.080033003,-156.272714,20.716909,1518959,,,
105128,1,2000,2300,0,-156.272714,20.716909,1518959,,,
104760,2,2000,2300,0,-156.272585,20.716963,1638959,,,
104936,2,2000,2300,0.042543337,-156.272585,20.716963,1638959,,,
104946,2,2000,2300,0,-156.272585,20.716963,1638959,,,
104977,2,2000,2300,0,-156.272585,20.716963,1638959,,,
104979,2,2000,2300,1,-156.272585,20.716963,1638959,,,
105014,2,2000,2300,0,-156.272585,20.716963,1638959,,,
105029,2,2000,2300,1,-156.272585,20.716963,1638959,,,
105063,2,2000,2300,0,-156.272585,20.716963,1638959,,,
104855,3,2000,2300,0,-156.272061,20.717793,829323.9,,,
104879,3,2000,2300,0,-156.272061,20.717793,829323.9,,,
104909,3,2000,2300,0,-156.272061,20.717793,829323.9,,,
104913,3,2000,2300,1,-156.272061,20.717793,829323.9,,,
104926,3,2000,2300,0.007873286,-156.272061,20.717793,829323.9,,,
105210,3,2000,2300,0,-156.272061,20.717793,829323.9,,,
105226,3,2000,2300,0,-156.272061,20.717793,829323.9,,,
104555,4,2000,2300,0,-156.270597,20.719593,1496345.6,,,
104559,4,2000,2300,0,-156.270597,20.719593,1496345.6,,,
104585,4,2000,2300,0.005478252,-156.270597,20.719593,1496345.6,,,
104615,4,2000,2300,0,-156.270597,20.719593,1496345.6,,,
104755,4,2000,2300,0,-156.270597,20.719593,1496345.6,,,
104820,4,2000,2300,0,-156.270597,20.719593,1496345.6,,,
105084,4,2000,2300,0,-156.270597,20.719593,1496345.6,,,
105247,4,2000,2300,0,-156.270597,20.719593,1496345.6,,,
