Sample_ID,Sample_Name,Transect,Distance,Distance_num,Control
104850,MAUI_T3_1000m,3,1000 m,1300,Sample
104853,MAUI_T4_PLNT,4,Plantation,1,Sample
104855,MAUI_T3_2000m,3,2000 m,2300,Sample
104858,MAUI_T2_CNTRL,2,Control,NA,Control
104861,MAUI_T3_PLNT,3,Plantation,1,Sample
104865,MAUI_T1_CNTRL,1,Control,NA,Control
104867,MAUI_T3_100m,3,100 m,400,Sample
104874,MAUI_T4_100m,4,100 m,400,Sample
104879,MAUI_T3_2000m,3,2000 m,2300,Sample
104883,MAUI_T3_INVFRT,3,Invasion Front,300,Sample
104886,MAUI_T2_100m,2,100 m,400,Sample
104887,MAUI_T4_500m,4,500 m,800,Sample
104896,MAUI_T4_INVFRT,4,Invasion Front,300,Sample
104899,MAUI_T3_100m,3,100 m,400,Sample
104902,MAUI_T3_1000m,3,1000 m,1300,Sample
104908,MAUI_T2_PLNT,2,Plantation,1,Sample
104909,MAUI_T3_2000m,3,2000 m,2300,Sample
104913,MAUI_T3_2000m,3,2000 m,2300,Sample
104915,MAUI_T2_PLNT,2,Plantation,1,Sample
104919,MAUI_T3_500m,3,500 m,800,Sample
104921,MAUI_T4_INVFRT,4,Invasion Front,300,Sample
104924,MAUI_T3_PLNT,3,Plantation,1,Sample
104926,MAUI_T3_2000m,2,2000 m,2300,Sample
104928,MAUI_T1_PLNT,1,Plantation,1,Sample
104935,MAUI_T2_INVFRT,2,Invasion Front,300,Sample
104936,MAUI_T2_2000m,2,2000 m,2300,Sample
104944,MAUI_T4_100m,4,100 m,400,Sample
104946,MAUI_T2_2000m,2,2000 m,2300,Sample
104947,MAUI_T2_PLNT,2,Plantation,1,Sample
104953,MAUI_T4_PLNT,4,Plantation,1,Sample
104959,MAUI_T4_INVFRT,4,Invasion Front,300,Sample
104968,MAUI_T2_1000m,2,1000 m,1300,Sample
104977,MAUI_T2_2000m,2,2000 m,2300,Sample
104979,MAUI_T2_2000m,2,2000 m,2300,Sample
104993,MAUI_T4_INVFRT,4,Invasion Front,300,Sample
105000,MAUI_T2_INVFRT,2,Invasion Front,300,Sample
105003,MAUI_T4_500m,3,500 m,800,Sample
105014,MAUI_T2_2000m,2,2000 m,2300,Sample
105021,MAUI_T2_1000m,2,1000 m,1300,Sample
105023,MAUI_T4_100m,4,100 m,400,Sample
105028,MAUI_T4_INVFRT,4,Invasion Front,300,Sample
105029,MAUI_T2_2000m,2,2000 m,2300,Sample
105035,MAUI_T4_100m,4,100 m,400,Sample
105037,MAUI_T2_INVFRT,2,Invasion Front,300,Sample
105041,MAUI_T2_500m,2,500 m,800,Sample
105049,MAUI_T4_INVFRT,4,Invasion Front,300,Sample
105051,MAUI_T2_100m,2,100 m,400,Sample
105054,MAUI_T4_500m,4,500 m,800,Sample
105060,MAUI_T4_PLNT,4,Plantation,1,Sample
105063,MAUI_T2_2000m,2,2000 m,2300,Sample
105072,MAUI_T2_PLNT,2,Plantation,1,Sample
105076,MAUI_T2_500m,2,500 m,800,Sample
105084,MAUI_T4_2000m,4,2000 m,2300,Sample
105108,MAUI_T4_PLNT,4,Plantation,1,Sample
105121,MAUI_T3_100m,3,100 m,400,Sample
105128,MAUI_T1_2000m,1,2000 m,2300,Sample
105139,MAUI_T1_CNTRL,1,Control,NA,Control
105147,MAUI_T3_500m,3,500 m,800,Sample
105155,MAUI_T1_PLNT,1,Plantation,1,Sample
105157,MAUI_T3_500m,3,500 m,800,Sample
105176,MAUI_T3_1000m,3,1000 m,1300,Sample
105210,MAUI_T3_2000m,3,2000 m,2300,Sample
105214,MAUI_T3_PLNT,3,Plantation,1,Sample
105216,MAUI_T3_100m,3,100 m,400,Sample
105225,MAUI_T3_500m,3,500 m,800,Sample
105226,MAUI_T3_2000m,3,2000 m,2300,Sample
105235,MAUI_T3_1000m,3,1000 m,1300,Sample
105238,MAUI_T3_PLNT,3,Plantation,1,Sample
105240,MAUI_T3_500m,3,500 m,800,Sample
105247,MAUI_T4_2000m,4,2000 m,2300,Sample
