Transect,Distance,Sample.Number,Shoot.Biomass,Root.Biomass,Age,Colonized,Uncolonized,Total,perc_col,Distance_num,TvC,Total.Biomass
4,2000,6,0.3972,0.2637,230,125,54,179,0.698324022,2300,1,0.6609
4,2000,7,0.2871,0.2972,210,107,82,189,0.566137566,2300,1,0.5843
4,2000,8,0.1838,0.0534,206,72,27,99,0.727272727,2300,1,0.2372
4,Invasion Front,1,0.2752,0.1167,205,49,141,190,0.257894737,300,1,0.3919
4,Invasion Front,2,0.3611,0.083,206,23,79,102,0.225490196,300,1,0.4441
4,Invasion Front,3,0.1941,0.023,206,2,35,37,0.054054054,300,1,0.2171
4,Invasion Front,4,0.3328,0.1289,206,67,119,186,0.360215054,300,1,0.4617
4,Invasion Front,5,0.7403,0.3655,207,104,88,192,0.541666667,300,1,1.1058
4,Invasion Front,6,0.4801,0.3101,207,14,172,186,0.075268817,300,1,0.7902
4,Invasion Front,7,0.2784,0.0632,186,9,156,165,0.054545455,300,1,0.3416
4,Invasion Front,8,0.3697,0.0892,186,35,155,190,0.184210526,300,1,0.4589
4,Plantation,1,0.3019,0.1044,205,52,125,177,0.293785311,1,1,0.4063
4,Plantation,2,0.4796,0.2988,205,56,146,202,0.277227723,1,1,0.7784
4,Plantation,2,0.6499,0.5279,209,41,147,188,0.218085106,1,1,1.1778
4,Plantation,3,0.7592,0.3514,209,50,135,185,0.27027027,1,1,1.1106
4,Plantation,4,0.5768,0.0769,209,75,97,172,0.436046512,1,1,0.6537
4,Plantation,5,0.5175,0.0941,188,75,85,160,0.46875,1,1,0.6116
4,Plantation,6,0.4475,0.1833,188,101,86,187,0.540106952,1,1,0.6308
,,,,,,,,,0.454810311,,,
,,,,,,,,,0.222055355,,,
